Unnamed: 0,title,date,url,player,textblob_Sentiment,key_words_score,sentiment_bert_average_score,sentiment_roberta_average_score,sentiment_xlnet_average_score,sentiment_distilbert_average_score,bert_relevance,nltk_Sentiment
124,LeBron James impresses but LA Lakers lose 128-119 at Portland Trail Blazers,2018-19,https://www.bbc.co.uk/sport/basketball/45911389,LeBron James,0.1622222222222222,1.2,0.6297639608383179,0.5048450231552124,0.5398524701595306,0.5234322547912598,0.6005843281745911,0.8934
126,NBA: LeBron James claims first Los Angeles Lakers victory,2018-19,https://www.bbc.co.uk/sport/basketball/45975260,LeBron James,0.0819285714285714,1.2,0.6581498384475708,0.5362204760313034,0.5764656811952591,0.5256034433841705,0.6005843281745911,-0.1531
128,LeBron James landmark as Los Angeles Lakers thrashed by Indiana Pacers,2018-19,https://www.bbc.co.uk/sport/basketball/47141238,LeBron James,0.0959891118982028,1.0,0.7089037895202637,0.5354156096776327,0.5898571809132894,0.5459083716074625,0.6005843281745911,-0.0196
129,LeBron James and the Los Angeles Lakers out of play-off race - what has gone wrong?,2018-19,https://www.bbc.co.uk/sport/basketball/47589985,LeBron James,0.1028217358772914,1.2,0.6086370825767518,0.5424047946929932,0.5891941010951995,0.5158748745918273,0.6005843281745911,0.9745
130,NBA: LeBron James overtakes Michael Jordan in all-time points scoring,2018-19,https://www.bbc.co.uk/sport/basketball/47454448,LeBron James,0.0901572112098427,1.0,0.6083052903413773,0.5386225581169128,0.5792111158370972,0.522496223449707,0.6005843281745911,0.9783
131,LeBron James passes Wilt Chamberlain on NBA all-time scoring list in Lakers win,2018-19,https://www.bbc.co.uk/sport/basketball/46218586,LeBron James,0.0958333333333333,1.2,0.5709877461194992,0.5406034141778946,0.5905160009860992,0.5347949117422104,0.6005843281745911,0.9924
135,LeBron James is first player in the NBA's top 10 all-time scoring and assists lists,2018-19,https://www.bbc.co.uk/sport/basketball/47368038,LeBron James,0.06,1.0,0.546849528948466,0.5366101463635763,0.5588696599006653,0.5155027707417806,0.6005843281745911,-0.8128
138,LeBron James inspires LA Lakers in late comeback on return to Cleveland Cavaliers,2018-19,https://www.bbc.co.uk/sport/basketball/46300219,LeBron James,0.2111842105263158,1.0,0.6038235823313395,0.5444281101226807,0.6608442465464274,0.516412099202474,0.6005843281745911,0.9789
140,LeBron James hits a triple-double in first home Los Angeles Lakers win,2018-19,https://www.bbc.co.uk/sport/basketball/45988828,LeBron James,0.1656926406926407,1.0,0.5895147919654846,0.5261718034744263,0.6122316519419352,0.5281351010004679,0.6005843281745911,-0.6908
141,Cleveland Cavaliers: How LeBron James' exit preceded their NBA slump,2018-19,https://www.bbc.co.uk/sport/basketball/46258909,LeBron James,0.1193641211219336,1.0,0.5685656249523163,0.5276868224143982,0.5740368723869324,0.5207160234451294,0.6005843281745911,0.9936
