title,date,url,player,textblob_sentiment,sentiment_bert_average_score,sentiment_xlnet_average_score,bert_relevance
Glasgow 2014: The Jamaican university that changed athletics,2014,https://www.bbc.co.uk/sport/commonwealth-games/26986280,Carmelo Anthony,0.1588937145105976,0.5690144062042236,0.5458568096160888,0.5788891315460205
LeBron James in talks on David Beckham Miami MLS team,2014,https://www.bbc.co.uk/sport/football/24995887,LeBron James,0.2220588235294117,0.527268668015798,0.5986272493998209,0.56600022315979
LeBron James to buy into David Beckham's Miami MLS team,2014,https://www.bbc.co.uk/newsround/25004049,LeBron James,0.0,0.5052380561828613,0.5413153171539307,0.56600022315979
Can David Beckham bring Major League Soccer to Miami?,2014,https://www.bbc.co.uk/news/magazine-25770620,LeBron James,0.0625,0.5875919461250305,0.5048909783363342,0.56600022315979
"Arthur Smith Sings Leonard Cohen, Again",2014,https://www.bbc.co.uk/programmes/b03vdl1v,Kevin Love,0.0,0.6411929726600647,0.503294825553894,0.5301454663276672
Dead man fulfils comedy club wish,2014,http://www.bbc.co.uk/news/uk-northern-ireland-27041499,Kevin Love,-0.2,0.571768581867218,0.6400931477546692,0.5301454663276672
A Good Read: Michael Dobbs and Katie Puckrik,2014,https://www.bbc.co.uk/programmes/b03hvx6r,Kevin Love,0.7,0.6484603881835938,0.5790090560913086,0.5301454663276672
Hillsborough stories: Martin Kevin Traynor,2014,https://www.bbc.co.uk/news/uk-england-26930226,Kevin Love,0.0,0.5944436192512512,0.6004065871238708,0.5301454663276672
Hillsborough stories: Kevin Daniel Williams,2014,https://www.bbc.co.uk/news/uk-england-26952716,Kevin Love,0.0,0.5699682235717773,0.5136698484420776,0.5301454663276672
Elizabeth Thomas: Oxted neighbours pay respects to stabbed girl,2014,https://www.bbc.co.uk/news/uk-england-surrey-25922004,Blake Griffin,0.0,0.6120868921279907,0.5901120901107788,0.5681873559951782
Challenge Cup: Batley Bulldogs 10-48 Castleford Tigers,2014,http://www.bbc.co.uk/sport/rugby-league/26855154,Blake Griffin,0.1423765432098765,0.6578033169110616,0.5715285936991373,0.5681873559951782
Glasgow 2014: The Jamaican university that changed athletics,2014,https://www.bbc.co.uk/sport/commonwealth-games/26986280,Blake Griffin,0.1588937145105976,0.620695835351944,0.5324443280696869,0.5681873559951782
Selfie Day: Who do you think you are?,2014,https://www.bbc.co.uk/news/uk-26921977,Blake Griffin,0.0,0.7583572864532471,0.5469738841056824,0.5681873559951782
Ten-man Coleraine beat Ards to end nine-game losing run,2014,https://www.bbc.co.uk/sport/av/football/25604618,Stephen Curry,0.0,0.5044475793838501,0.5144023299217224,0.568107545375824
Coach Stephen Keshi proud of Nigeria's CHAN campaign,2014,https://www.bbc.co.uk/sport/football/26007595,Stephen Curry,0.3156565656565657,0.5615754922231039,0.5968084136644999,0.568107545375824
Irish Premiership: Dungannon Swifts 0-4 Warrenpoint Town,2014,https://www.bbc.co.uk/sport/football/26995097,Stephen Curry,0.0249999999999999,0.5360998511314392,0.5892767608165741,0.568107545375824
Meet Mrs Grey from Fifty Shades,2014,https://www.bbc.co.uk/news/entertainment-arts-26547178,James Harden,-0.05,0.5355605483055115,0.5138793587684631,0.5647941827774048
Marcia Gay Harden added to Fifty Shades Of Grey cast,2014,https://www.bbc.co.uk/news/newsbeat-25211987,James Harden,0.1833333333333333,0.8096460103988647,0.576391339302063,0.5647941827774048
LV=Cup: Scarlets 13-7 Gloucester,2014,https://www.bbc.co.uk/sport/rugby-union/25885845,James Harden,0.06,0.5279116630554199,0.538047194480896,0.5647941827774048
Men jailed for fight before Shrewsbury and Walsall fixture,2014,https://www.bbc.co.uk/news/uk-england-shropshire-24746826,James Harden,0.0,0.6278799772262573,0.5118423104286194,0.5647941827774048
Boy who raped sister after watching pornography sentenced,2014,https://www.bbc.co.uk/news/uk-england-lancashire-26418508,James Harden,0.0,0.6086185574531555,0.7114684581756592,0.5647941827774048
Fifty Shades of Grey actor Jamie Dornan becomes father,2014,https://www.bbc.co.uk/news/newsbeat-25428385,James Harden,-0.05,0.6312340497970581,0.5192384123802185,0.5647941827774048
Jamaica faces serious questions in the fight against doping,2014,https://www.bbc.co.uk/sport/athletics/24906369,DeMar DeRozan,0.047257313393677,0.6241544783115387,0.5866196602582932,0.5694683194160461
Celtic midfielder Paul George moves to Hamilton on loan,2014,https://www.bbc.co.uk/sport/football/25736730,Paul George,-0.0166666666666666,0.5630756616592407,0.5605288743972778,0.5669509768486023
King George VI: Can Al Ferof bring Paul Nicholls more success?,2014,https://www.bbc.co.uk/sport/horse-racing/25498836,Paul George,0.1044612794612794,0.6101943135261536,0.5408039212226867,0.5669509768486023
George Joseph guilty of murdering son Paul in rent row,2014,https://www.bbc.co.uk/news/uk-england-london-26856441,Paul George,-0.5,0.549937903881073,0.5627556443214417,0.5669509768486023
"Any Questions?: Keith Vaz MP, Pauline Black, George Eustice MP, Lisa Duffy",2014,https://www.bbc.co.uk/programmes/b03ttmf6,Paul George,-0.1666666666666666,0.5493610501289368,0.6029568314552307,0.5669509768486023
World Cup 2014: Guide to Switzerland's Group E,2014,https://www.bbc.co.uk/sport/football/25180409,Al Jefferson,0.1095268337783307,0.5753856807947159,0.5737224280834198,0.5357359647750854
Inventor John Wall's Crayford eyepiece 'revolutionary',2014,https://www.bbc.co.uk/news/uk-england-25657557,John Wall,0.0,0.5515506863594055,0.7266274094581604,0.5404929518699646
John's Shoe Repairs damaged by car crashing through wall,2014,https://www.bbc.co.uk/news/uk-england-derbyshire-26836148,John Wall,0.0,0.5849279761314392,0.5924397110939026,0.5404929518699646
Clydach wall crash death driver named as John Williams,2014,https://www.bbc.co.uk/news/uk-wales-south-west-wales-24750770,John Wall,0.0,0.5050374269485474,0.6537758708000183,0.5404929518699646
Front Row: The Coen Brothers; The Wolf of Wall Street; TS Eliot Prize winner; John Donnelly,2014,https://www.bbc.co.uk/programmes/b03phd4r,John Wall,0.0,0.6262224316596985,0.6303648352622986,0.5404929518699646
John Mooney laments Irish batting on first day of Dubai final,2014,https://www.bbc.co.uk/sport/av/cricket/25322741,John Wall,0.0833333333333333,0.5621971487998962,0.5508017539978027,0.5404929518699646
Sound City,2014,https://www.bbc.co.uk/programmes/b03sltyb,John Wall,0.4,0.5366724729537964,0.7330958843231201,0.5404929518699646
John's Shoe Repairs in Derby destroyed in car crash,2014,https://www.bbc.co.uk/news/uk-england-derbyshire-26832705,John Wall,0.0,0.530709445476532,0.6789697408676147,0.5404929518699646
Wildflowers for Guernsey Loafers' Wall to mark WW1 anniversary,2014,https://www.bbc.co.uk/news/world-europe-guernsey-26720179,John Wall,0.0,0.8025043606758118,0.5990569591522217,0.5404929518699646
Stargazing Live: Astronomy invention given away free,2014,https://www.bbc.co.uk/news/uk-england-coventry-warwickshire-25638639,John Wall,0.2681818181818182,0.5070157647132874,0.5585072040557861,0.5404929518699646
The invention that revolutionised amateur astronomy,2014,https://www.bbc.co.uk/news/uk-england-coventry-warwickshire-25639015,John Wall,-0.25,0.5556981563568115,0.543520987033844,0.5404929518699646
Shanghai's only graffiti wall set for demolition,2014,https://www.bbc.co.uk/news/world-asia-china-25513912,John Wall,0.0,0.6883175373077393,0.6328004002571106,0.5404929518699646
Coventry Cathedral: Work starts on bombed ruins,2014,https://www.bbc.co.uk/news/uk-england-coventry-warwickshire-26735086,John Wall,-0.15,0.5949229598045349,0.7665880918502808,0.5404929518699646
UK storms: Dawlish sea wall collapses under the railway line,2014,https://www.bbc.co.uk/news/uk-26044426,John Wall,0.0,0.679969847202301,0.5767308473587036,0.5404929518699646
Spitting Image's 30th anniversary,2014,https://www.bbc.co.uk/news/entertainment-arts-26348848,John Wall,0.0,0.5022308230400085,0.5286551713943481,0.5404929518699646
Bay Psalm Book is most expensive printed work at $14.2m,2014,https://www.bbc.co.uk/news/world-us-canada-25115524,Isaiah Thomas,0.0,0.5056194067001343,0.5572874546051025,0.5489680171012878
Bay Psalm Book: Why the Â£18m price tag?,2014,http://www.bbc.co.uk/news/magazine-25045283,Isaiah Thomas,0.0,0.5056850910186768,0.6849316954612732,0.5489680171012878
Rob Paternostro: British basketball riding wave of momentum,2014,https://www.bbc.co.uk/sport/basketball/25827898,Thaddeus Young,0.147335594035594,0.5955772399902344,0.5845275606427874,0.5117568969726562
League Cup: Crusaders beat Linfield in Windsor shoot-out,2014,https://www.bbc.co.uk/sport/football/24917316,Kyle Lowry,0.1765151515151514,0.5789606124162674,0.6052913963794708,0.5521249175071716
Irish Cup sixth round photos,2014,https://www.bbc.co.uk/sport/football/26104620,Kyle Lowry,0.0,0.5109005570411682,0.5420495271682739,0.5521249175071716
Focus on Irish Premiership action,2014,https://www.bbc.co.uk/sport/football/25797514,Kyle Lowry,0.0,0.5083836317062378,0.636810302734375,0.5521249175071716
Irish Cup fifth round photos,2014,https://www.bbc.co.uk/sport/football/25700825,Kyle Lowry,0.0,0.5238468050956726,0.6082059741020203,0.5521249175071716
Irish Premiership: Linfield 5-1 Warrenpoint Town,2014,https://www.bbc.co.uk/sport/football/24881890,Kyle Lowry,0.162663906142167,0.5510849157969157,0.5925972064336141,0.5521249175071716
