Unnamed: 0,title,date,url,player,textblob_Sentiment,key_words_score,sentiment_bert_average_score,sentiment_roberta_average_score,sentiment_xlnet_average_score,sentiment_distilbert_average_score,bert_relevance,nltk_Sentiment
4141,NBA: LeBron James handed first NBA suspension after clash with Isaiah Stewart,2021-22,https://www.bbc.co.uk/sport/basketball/59371603,LeBron James,-0.0512121212121212,1.0,0.572848841547966,0.5257055461406708,0.6073710471391678,0.5318907797336578,0.5063682794570923,-0.4203
4143,NBA: LeBron James scores 26 points against his former side as the LA Lakers win again,2021-22,https://www.bbc.co.uk/sport/basketball/59101077,LeBron James,0.1506684491978609,1.0,0.5838215500116348,0.5370267182588577,0.5396893471479416,0.5359610319137573,0.5063682794570923,0.9584
4189,NBA: LeBron James suspended for Los Angeles Lakers defeat by New York Knicks,2021-22,https://www.bbc.co.uk/sport/basketball/59399534,LeBron James,-0.0048951048951048,1.0,0.5699539383252462,0.5280719796816508,0.6024801731109619,0.510644773642222,0.5063682794570923,-0.8608
4193,NBA: LeBron James shines as LA Lakers beat Houston Rockets,2021-22,https://www.bbc.co.uk/sport/basketball/59146508,LeBron James,0.1066433566433566,1.0,0.5378888646761576,0.5311675071716309,0.5453685919443766,0.5303555329640707,0.5063682794570923,0.9118
4341,NBA: Los Angeles Lakers beaten by New Orleans Pelicans in 'must-win' game,2021-22,https://www.bbc.co.uk/sport/basketball/60965085,LeBron James,0.051103896103896,1.0,0.5438246428966522,0.5218660980463028,0.6403499096632004,0.5100848972797394,0.5063682794570923,-0.7794
4342,NBA: Los Angeles Lakers end lengthy away losing steak with victory over Toronto Raptors,2021-22,https://www.bbc.co.uk/sport/basketball/60804955,LeBron James,0.0719696969696969,1.0,0.6881816387176514,0.5351328651110331,0.564670205116272,0.5118205149968466,0.5063682794570923,0.5423
4344,NBA: Joel Embiid helps Philadelphia 76ers to win over Los Angeles Lakers,2021-22,https://www.bbc.co.uk/sport/basketball/60166399,LeBron James,0.0516645988420181,1.0,0.5842574000358581,0.5328451991081238,0.5370776653289795,0.5201332449913025,0.5063682794570923,-0.0525
4345,"NBA: Los Angeles Lakers lose to Sacramento Kings in triple overtime, Warriors and Bucks win",2021-22,https://www.bbc.co.uk/sport/basketball/59442169,LeBron James,0.05,1.0,0.5350358486175537,0.5291256109873453,0.5948938727378845,0.5261184175809225,0.5063682794570923,-0.8936
4347,NBA: LA Lakers fall to fifth defeat of the season with loss to Portland Trail Blazers,2021-22,https://www.bbc.co.uk/sport/basketball/59197184,LeBron James,0.1892857142857143,1.0,0.6118188947439194,0.5225729644298553,0.5990420877933502,0.5252106934785843,0.5063682794570923,-0.0129
4400,NBA: Golden State Warriors win fifth consecutive game as Toronto Raptors beat Miami Heat,2021-22,https://www.bbc.co.uk/sport/basketball/60180375,Jimmy Butler,0.2106691919191919,1.2,0.6376906931400299,0.5497613847255707,0.5858163684606552,0.5554094016551971,0.5031847357749939,0.903
4402,NBA: Devin Booker sets franchise record as Phoenix Suns beat Utah Jazz,2021-22,https://www.bbc.co.uk/sport/basketball/60151709,Jimmy Butler,0.2280546202768425,1.2,0.541864275932312,0.5364330291748047,0.5880967736244201,0.5377914428710937,0.5031847357749939,0.9944
4411,NBA: Golden State Warriors hold on to beat Utah Jazz,2021-22,https://www.bbc.co.uk/sport/basketball/60108574,Jimmy Butler,-0.0266666666666666,1.0,0.5882438818613688,0.5232368111610413,0.6094414790471395,0.5256194273630778,0.5031847357749939,-0.3818
4442,NBA: Stephen Curry scores 45 as Golden State Warriors beat Los Angeles Clippers,2021-22,https://www.bbc.co.uk/sport/basketball/59006438,Jimmy Butler,0.0319444444444444,1.0,0.5697596271832784,0.5166624784469604,0.5299233396848043,0.523075004418691,0.5031847357749939,0.7184
